applicant_gen2, cited_patent_gen2, citing_applicant_gen2, citing_patents_gen2, ipc_current, title_original
"HARVARD COLLEGE","WO2013176772A1; WO2014065596A1; WO2014089290A1","","","C12N-0015/63","Engineering of systems, methods and optimized guide compositions for sequence manipulation"
"HARVARD COLLEGE","WO2013176772A1; WO2014065596A1; WO2014089290A1","","","C12N-0015/63","Engineering of systems, methods and optimized guide compositions for sequence manipulation"
"MIT","","","","C12N-0015/63","Delivery, engineering and optimization of systems, methods and compositions for sequence manipulation and therapeutic applications"
"HARVARD COLLEGE","","","","C12N-0015/63","Engineering and optimization of improved systems, methods and enzyme compositions for sequence manipulation"
"HARVARD COLLEGE","","","","C12N-0015/63","Engineering and optimization of improved systems, methods and enzyme compositions for sequence manipulation"
"MIT","WO2013176772A1; WO2014065596A1; WO2014089290A1","","","C12N-0015/63","CRISPR-Cas systems and methods for altering expression of gene products"
"MIT","WO2013176772A1; WO2014065596A1; WO2014089290A1","","","C12N-0015/63","CRISPR-Cas systems and methods for altering expression of gene products"
"HARVARD COLLEGE","","","","C12N-0015/63","CRISPR-Cas component systems, methods and compositions for sequence manipulation"
"HARVARD COLLEGE","","","","C12N-0009/22; C12N-0015/10; C12N-0015/63","Delivery, engineering and optimization of tandem guide systems, methods and compositions for sequence manipulation"
"HARVARD COLLEGE","","","","C12N-0009/22; C12N-0015/10; C12N-0015/63","Delivery, engineering and optimization of tandem guide systems, methods and compositions for sequence manipulation"
"HARVARD COLLEGE","","","","C12N-0009/22; C12N-0015/10; C12N-0015/63","Optimized CRISPR-Cas double nickase systems, methods and compositions for sequence manipulation"
"HARVARD COLLEGE","","","","C12N-0009/22; C12N-0015/10; C12N-0015/63; C40B-0040/08","Delivery and use of the CRISPR-Cas systems, vectors and compositions for hepatic targeting and therapy"
"HARVARD COLLEGE","","","","C12N-0009/22; C12N-0015/10; C12N-0015/63; C40B-0040/08","Delivery, use and therapeutic applications of the CRISPR-Cas systems and compositions for targeting disorders and diseases using viral components"
"BROAD INSTITUTE INC","","","","C12N-0015/63","Engineering of systems, methods and optimized guide compositions for sequence manipulation"
"BROAD INSTITUTE INC","","","","C12N-0015/63","CRISPR-Cas systems and methods for altering expression of gene products"
"BROAD INSTITUTE INC","","","","C12N-0015/63","Engineering and optimization of improved systems, methods and enzyme compositions for sequence manipulation"
