Publication Number, citing_applicant_first
"CN105624196A","Jiangsu University"
"CN105624191A","Jiangsu University"
"CN105548420A","Shanghai Bowei Biological Technology"
"CN106086008A","Institute of Plant Protection (IPP) Chinese Academy of Agricultural Science (CAAS)"
"CN106047877A","The First Affiliated Hospital Sun Yat-sen University"
"EP2764103A2","BROAD INSTITUTE INC"
"US8945839B2","BROAD INSTITUTE INC"
"US9822372B2","BROAD INSTITUTE INC"
"US9840713B2","BROAD INSTITUTE INC"
"WO2016138488A2","BROAD INSTITUTE INC"
"WO2016205764A1","BROAD INSTITUTE INC"
"WO2016205745A2","BROAD INSTITUTE INC"
"WO2016205728A1","MIT"
"WO2016094874A1","BROAD INSTITUTE INC"
"WO2016094867A1","BROAD INSTITUTE INC"
"WO2016094880A1","BROAD INSTITUTE INC"
"WO2016094872A1","BROAD INSTITUTE INC"
"WO2016086197A1","BRIGHAM & WOMENS HOSPITAL"
"WO2016069591A2","BROAD INSTITUTE INC"
"US10077445B2","UNIV CALIFORNIA"
"US10113167B2","UNIV CALIFORNIA"
"WO2016182893A1","BROAD INSTITUTE INC"
"WO2017161325A1","MIT"
"WO2017147196A1","MIT"
"WO2017219027A1","BROAD INSTITUTE INC"
"US10017760B2","Inscripta Inc."
"US10011849B1","Inscripta Inc."
"US10000772B2","UNIV CALIFORNIA"
"WO2018013840A1","VERTEX PHARMACEUTICALS"
"WO2017075465A1","BROAD INSTITUTE INC"
"WO2017075451A1","BROAD INSTITUTE INC"
"WO2017075294A1","BROAD INSTITUTE INC"
"WO2017087708A1","BRIGHAM & WOMENS HOSPITAL"
"WO2017075478A2","BROAD INSTITUTE INC"
"WO2017074788A1","BROAD INSTITUTE INC"
"WO2018083606A1","NOVARTIS AG"
"WO2018067991A1","BRIGHAM & WOMENS HOSPITAL"
"WO2016108926A1","BROAD INSTITUTE INC"
"WO2016106244A1","BROAD INSTITUTE INC"
"WO2016106236A1","BROAD INSTITUTE INC"
"WO2016100974A1","BROAD INSTITUTE INC"
"WO2016120480A1","MEIOGENIX"
"US9982278B2","UNIV OF COLORADO"
"US9982279B1","Inscripta Inc."
"WO2018049025A2","BROAD INSTITUTE INC"
"WO2018035364A1","BROAD INSTITUTE INC"
"WO2018035250A1","BROAD INSTITUTE INC"
"WO2017070605A1","BROAD INSTITUTE INC"
"WO2017069958A2","BRIGHAM & WOMENS HOSPITAL"
"WO2015089486A2","BROAD INSTITUTE INC"
"WO2015089419A2","BROAD INSTITUTE INC"
"WO2015089364A1","BROAD INSTITUTE INC"
"WO2015089351A1","BROAD INSTITUTE INC"
"WO2015089465A1","BROAD INSTITUTE INC"
"WO2015089354A1","BROAD INSTITUTE INC"
"WO2016049251A1","BROAD INSTITUTE INC"
"WO2016049163A2","BROAD INSTITUTE INC"
"EP2764103B1","BROAD INSTITUTE INC"
"EP2771468A1","BROAD INSTITUTE INC"
"EP2784162B1","BROAD INSTITUTE INC"
"EP2825654B1","BROAD INSTITUTE INC"
"EP2896697B1","BROAD INSTITUTE INC"
"EP2898075B1","BROAD INSTITUTE INC"
"EP2921557B1","BROAD INSTITUTE INC"
"WO2014093709A1","BROAD INSTITUTE INC"
"WO2014202250A1","KOLIBREE"
"EP2771468B1","BROAD INSTITUTE INC"
"US9856497B2","STANFORD UNIVERSITY"
"EP2928496A1","SIGMA-ALDRICH CO LLC"
"US9701964B2","SNIPR TECHNOLOGIES LIMITED"
"EP2840140B1","BROAD INSTITUTE INC"
"EP2931897B1","BROAD INSTITUTE INC"
"EP2931898B1","BROAD INSTITUTE INC"
"WO2018136758A1","Regeneron Pharmaceuticals Inc"
"US9834786B2","Regeneron Pharmaceuticals Inc"
"JP06203879B2","BROAD INSTITUTE INC"
"JP06395765B2","BROAD INSTITUTE INC"
"JP2016093196A","BROAD INSTITUTE INC"
"JP2017205127A","BROAD INSTITUTE INC"
"JP2016165307A","BROAD INSTITUTE INC"
"JP2016182140A","BROAD INSTITUTE INC"
"US9970024B2","HARVARD COLLEGE"
"WO2018030457A1","TAKEDA PHARMACEUTICAL COMPANY LIMITED"
"WO2018030874A1","TOOLGEN INC"
"KR1745863B1","INDUSTRY FOUNDATION OF CHONNAM NATIONAL UNIVERSITY"
"WO2017106251A1","HARVARD COLLEGE"
"WO2016080097A1","NATIONAL UNIVERSITY CORPORATION TOKYO MEDICAL AND DENTAL UNIVERSITY"
"US9410198B2","CARIBOU BIOSCIENCES INC"
"US9752132B2","General Hospital Corporation"
"US9738908B2","System Biosciences LLC"
"US10138476B2","General Hospital Corporation"
"US10125361B2","CARIBOU BIOSCIENCES INC"
"US10119133B2","General Hospital Corporation"
"US10093910B2","General Hospital Corporation"
"US9688972B2","PIONEER HI-BRED INTERNATIONAL INC"
"US9260752B1","CARIBOU BIOSCIENCES INC"
"US9234213B2","System Biosciences LLC"
"US9725714B2","CARIBOU BIOSCIENCES INC"
"US9771601B2","PIONEER HI-BRED INTERNATIONAL INC"
"WO2018152285A1","DENALI THERAPEUTICS INC."
"WO2017197301A1","HANLEY Brian P."
"US9932566B2","AGILENT TECHNOLOGIES INC"
"US9944912B2","General Hospital Corporation"
"US9580701B2","PIONEER HI-BRED INTERNATIONAL INC"
"US10011850B2","General Hospital Corporation"
"US9926545B2","General Hospital Corporation"
"US9909122B2","CARIBOU BIOSCIENCES INC"
"US9926546B2","General Hospital Corporation"
"US9567604B2","General Hospital Corporation"
"US9567603B2","General Hospital Corporation"
"US9650617B2","PIONEER HI-BRED INTERNATIONAL INC"
"US9512446B1","General Hospital Corporation"
"WO2016116032A1","INSTITUTE OF GENETICS AND DEVELOPMENTAL BIOLOGY CHINESE ACADEMY OF SCIENCES"
"WO2017015101A1","UNIVERSITY OF WASHINGTON"
"US9885033B2","General Hospital Corporation"
"US9885026B2","CARIBOU BIOSCIENCES INC"
"US9868962B2","PIONEER HI-BRED INTERNATIONAL INC"
"JP06190995B2","THE UNIVERSITY OF TOKYO"
"WO2018047183A1","YEDA RESEARCH AND DEVELOPMENT CO. LTD."
"WO2016022866A1","AGILENT TECHNOLOGIES INC"
"US20160201089A1","DUKE UNIVERSITY"
"US9809814B1","CARIBOU BIOSCIENCES INC"
"US9803194B2","CARIBOU BIOSCIENCES INC"
"US9822370B2","HARVARD COLLEGE"
"WO2015103153A1","UNIV CALIFORNIA"
"WO2017201425A1","COLUMBIA UNIVERSITY"
"WO2018073237A1","UNIVERSITY OF EDINBURGH"
"WO2016114972A1","UNIV CALIFORNIA"
"US9963689B2","UNIV CALIFORNIA"
"WO2016011203A1","LIFE TECHNOLOGIES CORPORATION"
"WO2015065964A1","BROAD INSTITUTE INC"
"WO2016131009A1","UNIVERSITY OF MASSACHUSETTS"
"WO2016154176A1","UNIV YALE"
"US20160289637A1","Dana-Farber Cancer Institute Inc."
"US20160304907A1","HARVARD COLLEGE"
"US10053693B2","Syed Mubin I."
"US10077452B2","UNIVERSITY OF MASSACHUSETTS"
"US10072251B2","UNIVERSITY OF MASSACHUSETTS"
"US10059940B2","Zhong Minghong"
"US10035825B2","UNIVERSITY OF MASSACHUSETTS"
"US10039777B2","NEURO-LM SAS"
"US10124042B2","FACTOR BIOSCIENCE INC."
"WO2016109840A3","SYNTHETIC GENOMICS INC"
"US9260723B2","HARVARD COLLEGE"
"US9228208B2","Regeneron Pharmaceuticals Inc"
"US9943612B2","SEATTLE CHILDREN' S HOSPITAL"
"US9938521B2","EDITAS MEDICINE INC"
"US9587252B2","HARVARD COLLEGE"
"US9596835B2","UNIVERSITY OF MASSACHUSETTS"
"AU2014273082B2","CELLECTIS"
"WO2017083274A1","SEATTLE CHILDREN' S HOSPITAL"
"WO2017083722A1","GREENBERG Kenneth P"
"US9546384B2","Regeneron Pharmaceuticals Inc"
"US9663782B2","Larix Bioscience LLC"
"US20160032353A1","AGILENT TECHNOLOGIES INC"
"US20160040165A1","US VETERANS"
"CN104293831A","Shanghai Yunshun Biological Technology Co. Ltd."
"US9885057B2","UNIVERSITY OF MASSACHUSETTS"
"US9976144B2","Syed Mubin I."
"US9970030B2","CARIBOU BIOSCIENCES INC"
