family_country,year,kind_adjusted,n,top_ten
AP,1997,A,1,FALSE
AP,1998,A,1,FALSE
AP,2e3,A,1,FALSE
AP,2003,A,1,FALSE
AP,2004,A,1,FALSE
AP,2008,A,2,FALSE
AP,2009,A,2,FALSE
AP,2010,A,1,FALSE
AP,2011,A,2,FALSE
AP,2012,A,2,FALSE
AP,2013,A,2,FALSE
AP,2015,A,4,FALSE
AP,2016,A,4,FALSE
AP,2017,A,2,FALSE
AR,1980,A,1,FALSE
AR,1990,A,1,FALSE
AR,1994,A,1,FALSE
AR,1998,A,2,FALSE
AR,1999,A,5,FALSE
AR,2e3,A,1,FALSE
AR,2001,A,2,FALSE
AR,2002,A,5,FALSE
AR,2003,A,2,FALSE
AR,2005,A,2,FALSE
AR,2006,A,1,FALSE
AR,2007,A,1,FALSE
AR,2008,A,1,FALSE
AR,2011,A,2,FALSE
AR,2013,A,4,FALSE
AR,2014,A,2,FALSE
AR,2015,A,2,FALSE
AR,2016,A,11,FALSE
AR,2017,A,15,FALSE
AT,1968,B,1,FALSE
AT,1972,B,1,FALSE
AT,1978,A,1,FALSE
AT,1979,B,1,FALSE
AT,1985,B,2,FALSE
AT,1986,B,1,FALSE
AT,1989,B,2,FALSE
AT,1990,B,2,FALSE
AT,1991,B,1,FALSE
AT,1992,B,8,FALSE
AT,1993,B,4,FALSE
AT,1994,B,6,FALSE
AT,1995,A,1,FALSE
AT,1995,B,6,FALSE
AT,1996,B,6,FALSE
AT,1997,B,6,FALSE
AT,1998,B,3,FALSE
AT,1999,B,2,FALSE
AT,2e3,B,6,FALSE
AT,2001,B,6,FALSE
AT,2002,A,3,FALSE
AT,2002,B,6,FALSE
AT,2003,A,2,FALSE
AT,2003,B,16,FALSE
AT,2004,B,6,FALSE
AT,2005,A,1,FALSE
AT,2005,B,7,FALSE
AT,2006,B,15,FALSE
AT,2007,B,19,FALSE
AT,2008,B,24,FALSE
AT,2009,B,22,FALSE
AT,2010,B,26,FALSE
AT,2011,B,20,FALSE
AT,2012,B,10,FALSE
AT,2014,A,1,FALSE
AT,2016,A,1,FALSE
AT,2016,U,2,FALSE
AU,1948,B,1,TRUE
AU,1974,A,1,TRUE
AU,1975,B,1,TRUE
AU,1976,A,1,TRUE
AU,1978,B,1,TRUE
AU,1979,A,8,TRUE
AU,1980,A,1,TRUE
AU,1980,B,2,TRUE
AU,1981,A,3,TRUE
AU,1982,A,1,TRUE
AU,1982,B,4,TRUE
AU,1983,A,2,TRUE
AU,1983,B,2,TRUE
AU,1984,A,1,TRUE
AU,1984,B,2,TRUE
AU,1985,A,1,TRUE
AU,1985,B,2,TRUE
AU,1986,A,2,TRUE
AU,1987,A,4,TRUE
AU,1988,A,9,TRUE
AU,1988,B,1,TRUE
AU,1989,A,6,TRUE
AU,1990,A,5,TRUE
AU,1990,B,4,TRUE
AU,1991,A,8,TRUE
AU,1991,B,3,TRUE
AU,1992,A,7,TRUE
AU,1992,B,6,TRUE
AU,1993,A,3,TRUE
AU,1993,B,3,TRUE
AU,1994,A,8,TRUE
AU,1994,B,7,TRUE
AU,1995,A,8,TRUE
AU,1995,B,2,TRUE
AU,1996,A,15,TRUE
AU,1996,B,4,TRUE
AU,1996,D,1,TRUE
AU,1997,A,10,TRUE
AU,1997,B,2,TRUE
AU,1997,D,148,TRUE
AU,1998,A,26,TRUE
AU,1998,B,9,TRUE
AU,1998,D,63,TRUE
AU,1999,A,57,TRUE
AU,1999,B,8,TRUE
AU,1999,D,5,TRUE
AU,2e3,A,40,TRUE
AU,2e3,B,5,TRUE
AU,2e3,D,1,TRUE
AU,2001,A,148,TRUE
AU,2001,B,5,TRUE
AU,2002,A,55,TRUE
AU,2002,B,7,TRUE
AU,2002,C,1,TRUE
AU,2002,D,1,TRUE
AU,2003,A,81,TRUE
AU,2003,B,7,TRUE
AU,2003,D,1,TRUE
AU,2004,A,54,TRUE
AU,2004,B,26,TRUE
AU,2005,A,33,TRUE
AU,2005,B,28,TRUE
AU,2006,A,28,TRUE
AU,2006,B,19,TRUE
AU,2007,A,28,TRUE
AU,2007,B,13,TRUE
AU,2008,A,36,TRUE
AU,2008,B,23,TRUE
AU,2009,A,23,TRUE
AU,2009,B,10,TRUE
AU,2009,C,1,TRUE
AU,2010,A,26,TRUE
AU,2010,B,14,TRUE
AU,2010,C,1,TRUE
AU,2011,A,9,TRUE
AU,2011,B,13,TRUE
AU,2011,C,1,TRUE
AU,2012,A,42,TRUE
AU,2012,B,14,TRUE
AU,2013,A,60,TRUE
AU,2013,B,12,TRUE
AU,2014,A,52,TRUE
AU,2014,B,33,TRUE
AU,2014,C,2,TRUE
AU,2015,A,92,TRUE
AU,2015,B,29,TRUE
AU,2016,A,138,TRUE
AU,2016,B,63,TRUE
AU,2016,C,1,TRUE
AU,2017,A,165,TRUE
AU,2017,B,76,TRUE
BE,1960,A,1,FALSE
BE,1962,A,2,FALSE
BE,1964,A,1,FALSE
BE,1966,A,1,FALSE
BE,1968,A,2,FALSE
BE,1975,A,2,FALSE
BE,1978,A,1,FALSE
BE,1986,A,1,FALSE
BE,1987,A,1,FALSE
BE,1994,A,1,FALSE
BE,2017,B,1,FALSE
BE,NA,A,1,FALSE
BG,1982,A,1,FALSE
BG,1989,A,3,FALSE
BG,1993,A,1,FALSE
BG,1998,A,2,FALSE
BG,1999,A,1,FALSE
BG,2001,B,1,FALSE
BG,2002,B,1,FALSE
BG,2003,A,2,FALSE
BG,2003,B,1,FALSE
BG,2005,B,1,FALSE
BG,2017,A,1,FALSE
BG,2017,U,1,FALSE
BR,1975,D,2,FALSE
BR,1978,A,5,FALSE
BR,1979,A,3,FALSE
BR,1980,A,1,FALSE
BR,1981,A,3,FALSE
BR,1983,A,1,FALSE
BR,1984,A,1,FALSE
BR,1985,A,1,FALSE
BR,1986,A,1,FALSE
BR,1987,A,1,FALSE
BR,1988,A,1,FALSE
BR,1989,A,1,FALSE
BR,1991,A,1,FALSE
BR,1993,A,1,FALSE
BR,1995,A,2,FALSE
BR,1997,A,3,FALSE
BR,1998,A,1,FALSE
BR,1999,A,5,FALSE
BR,2e3,A,11,FALSE
BR,2001,A,6,FALSE
BR,2002,A,5,FALSE
BR,2003,A,3,FALSE
BR,2004,A,2,FALSE
