Publication Number, first_applicant_citing2
"US10113163B2","HARVARD COLLEGE"
"US9999671B2","HARVARD COLLEGE"
"US10077453B2","HARVARD COLLEGE"
"US9840699B2","HARVARD COLLEGE"
"US9526784B2","HARVARD COLLEGE"
"US9737604B2","HARVARD COLLEGE"
"US9388430B2","HARVARD COLLEGE"
"US9834791B2","EDITAS MEDICINE INC"
"US9340799B2","HARVARD COLLEGE"
"US9340800B2","HARVARD COLLEGE"
"US9546384B2","Regeneron Pharmaceuticals Inc"
"US9888673B2","UNIVERSITY OF MINNESOTA"
"US10077445B2","UNIV CALIFORNIA"
"US10113167B2","UNIV CALIFORNIA"
"US10011849B1","Inscripta Inc."
"US9982279B1","Inscripta Inc."
"US9856497B2","STANFORD UNIVERSITY"
"US10000772B2","UNIV CALIFORNIA"
"US9359599B2","HARVARD COLLEGE"
"WO2017087708A1","BRIGHAM & WOMENS HOSPITAL"
"EP3219799A1","IMBA"
"US10017760B2","Inscripta Inc."
"US9322006B2","HARVARD COLLEGE"
"WO2017158153A1","IMBA"
"US10138476B2","General Hospital Corporation"
"US9228207B2","HARVARD COLLEGE"
"WO2016094867A1","BROAD INSTITUTE INC"
"US10093910B2","General Hospital Corporation"
"US10117911B2","Agenovir Corporation"
"US10119133B2","General Hospital Corporation"
"WO2016094872A1","BROAD INSTITUTE INC"
"WO2016094874A1","BROAD INSTITUTE INC"
"WO2016106244A1","BROAD INSTITUTE INC"
"WO2016205764A1","BROAD INSTITUTE INC"
"US10011850B2","General Hospital Corporation"
"US9567603B2","General Hospital Corporation"
"US9885033B2","General Hospital Corporation"
"US9926546B2","General Hospital Corporation"
"US9982278B2","UNIV OF COLORADO"
"WO2016086197A1","BRIGHAM & WOMENS HOSPITAL"
"WO2016100974A1","BROAD INSTITUTE INC"
"WO2016106236A1","BROAD INSTITUTE INC"
"WO2016108926A1","BROAD INSTITUTE INC"
"US9512446B1","General Hospital Corporation"
"US9567604B2","General Hospital Corporation"
"WO2018049025A2","BROAD INSTITUTE INC"
"US9902971B2","Regeneron Pharmaceuticals Inc"
"WO2017070605A1","BROAD INSTITUTE INC"
"WO2018054911A1","BAYER CROPSCIENCE NV"
"WO2018083606A1","NOVARTIS AG"
"US10106820B2","Regeneron Pharmaceuticals Inc"
"US9822370B2","HARVARD COLLEGE"
"US9834786B2","Regeneron Pharmaceuticals Inc"
"WO2016182893A1","BROAD INSTITUTE INC"
"WO2017069958A2","BRIGHAM & WOMENS HOSPITAL"
"WO2017074788A1","BROAD INSTITUTE INC"
"WO2017075451A1","BROAD INSTITUTE INC"
"WO2017075465A1","BROAD INSTITUTE INC"
"WO2017075478A2","BROAD INSTITUTE INC"
"WO2017219027A1","BROAD INSTITUTE INC"
"US10047358B1","Zymergen Inc"
"US10053688B2","Twist Bioscience"
"US10136649B2","NORTH CAROLINA STATE UNIVERSITY"
"US9909122B2","CARIBOU BIOSCIENCES INC"
"US9938521B2","EDITAS MEDICINE INC"
"WO2018013840A1","VERTEX PHARMACEUTICALS"
"WO2018067991A1","BRIGHAM & WOMENS HOSPITAL"
"US10066241B2","STANFORD UNIVERSITY"
"US9322037B2","HARVARD COLLEGE"
"US9745562B2","CARIBOU BIOSCIENCES INC"
"US9809814B1","CARIBOU BIOSCIENCES INC"
"WO2016049163A2","BROAD INSTITUTE INC"
"WO2016049251A1","BROAD INSTITUTE INC"
"WO2016069591A2","BROAD INSTITUTE INC"
"WO2016205728A1","MIT"
"WO2016205745A2","BROAD INSTITUTE INC"
"WO2017147196A1","MIT"
"WO2018035250A1","BROAD INSTITUTE INC"
"WO2018035364A1","BROAD INSTITUTE INC"
"US9487802B2","STANFORD UNIVERSITY"
"US9677090B2","CARIBOU BIOSCIENCES INC"
"US9725714B2","CARIBOU BIOSCIENCES INC"
"US9745368B2","UNIVERSITY OF PENNSYLVANIA"
"US9745600B2","CARIBOU BIOSCIENCES INC"
"US9777061B2","NOVARTIS AG"
"US9815901B2","NOVARTIS AG"
"US9822372B2","BROAD INSTITUTE INC"
"US9840713B2","BROAD INSTITUTE INC"
"US9926545B2","General Hospital Corporation"
"US9970026B2","CARIBOU BIOSCIENCES INC"
"US9970027B2","CARIBOU BIOSCIENCES INC"
"US9981239B2","Twist Bioscience"
