earliest_priority,application_number,inpadoc_family_members,family_country,family_date,family_consolidated
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU199883235A 19990210,AU,1999-02-10,AU199883235
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU199883236A 19990210,AU,1999-02-10,AU199883236
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU199883238A 19990210,AU,1999-02-10,AU199883238
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU199910110A 19990517,AU,1999-05-17,AU199910110
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU199931306A 19991025,AU,1999-10-25,AU199931306
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU200011391A 20000508,AU,2000-05-08,AU200011391
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU200053731A 20020114,AU,2002-01-14,AU200053731
AU19977991A 1997-07-15,JP200944799A 2009-02-26,AU200131441A 20010827,AU,2001-08-27,AU200131441
AU19977991A 1997-07-15,JP200944799A 2009-02-26,CA2296385C 20051129,CA,2005-11-29,CA2296385
AU19977991A 1997-07-15,JP200944799A 2009-02-26,CA2296439C 20090915,CA,2009-09-15,CA2296439
AU19977991A 1997-07-15,JP200944799A 2009-02-26,CA2399470C 20051115,CA,2005-11-15,CA2399470
AU19977991A 1997-07-15,JP200944799A 2009-02-26,CA2400220C 20130730,CA,2013-07-30,CA2400220
AU19977991A 1997-07-15,JP200944799A 2009-02-26,CA2456707C 20081014,CA,2008-10-14,CA2456707
AU19977991A 1997-07-15,JP200944799A 2009-02-26,CA2456714C 20061114,CA,2006-11-14,CA2456714
AU19977991A 1997-07-15,JP200944799A 2009-02-26,CA2456728C 20061128,CA,2006-11-28,CA2456728
AU19977991A 1997-07-15,JP200944799A 2009-02-26,CA2456735C 20091020,CA,2009-10-20,CA2456735
AU19977991A 1997-07-15,JP200944799A 2009-02-26,CA2456778C 20080902,CA,2008-09-02,CA2456778
AU19977991A 1997-07-15,JP200944799A 2009-02-26,CA2456779C 20110503,CA,2011-05-03,CA2456779
AU19977991A 1997-07-15,JP200944799A 2009-02-26,CA2458596C 20070109,CA,2007-01-09,CA2458596
AU19977991A 1997-07-15,JP200944799A 2009-02-26,CA2458597C 20081021,CA,2008-10-21,CA2458597
AU19977991A 1997-07-15,JP200944799A 2009-02-26,CA2458732C 20081118,CA,2008-11-18,CA2458732
AU19977991A 1997-07-15,JP200944799A 2009-02-26,CA2515282C 20111018,CA,2011-10-18,CA2515282
AU19977991A 1997-07-15,JP200944799A 2009-02-26,CA2564047C 20101130,CA,2010-11-30,CA2564047
AU19977991A 1997-07-15,JP200944799A 2009-02-26,CA2595592C 20110510,CA,2011-05-10,CA2595592
